Meningitis,Alzheimer's Disease and Other Dementias,Parkinson's Disease,Nutritional Deficiencies,Malaria,Drowning,Interpersonal Violence,Maternal Disorders,HIV/AIDS,Tuberculosis,Cardiovascular Diseases,Lower Respiratory Infections,Neonatal Disorders,Self-harm,Diarrheal Diseases,Neoplasms,Diabetes Mellitus,Chronic Kidney Disease,Protein-Energy Malnutrition,Road Injuries,Chronic Respiratory Diseases,Cirrhosis and Other Chronic Liver Diseases,Digestive Diseases,Drug Use Disorders,Alcohol Use Disorders,Exposure to Forces of Nature,Environmental Heat and Cold Exposure,Conflict and Terrorism,Poisonings,"Fire, Heat, and Hot Substances",Acute Hepatitis
0,21,6,0,0,2,2,0,7,0,161,14,2,3,0,142,20,14,0,7,14,7,16,1,1,0,0,0,0,0,0
595,29984,5811,210,0,934,1040,108,1680,1950,451910,19090,2670,14918,557,202621,21676,9348,108,12388,39888,22263,42169,1139,5468,64,205,67,147,908,240
2084,859,208,5285,5920,437,517,2348,2530,12268,35397,13674,12504,1522,18314,11011,2848,1938,5104,2931,6030,4524,7189,49,159,0,140,139,379,405,249
932,258,74,357,5894,178,437,695,8830,2315,6189,4626,5491,469,8202,2618,741,750,336,1351,1061,1141,1883,11,40,0,37,2,102,141,116
55,610,156,26,0,441,279,11,41,139,19368,383,205,812,9,5626,186,79,11,934,750,248,798,37,325,0,220,0,87,257,24
10,923,297,6,0,57,90,1,2,138,17705,373,92,392,8,9128,2266,614,2,224,1230,597,1210,12,93,28,14,0,13,53,4
478,11811,2966,1303,0,572,2917,378,1817,761,100391,38173,3614,4926,803,81304,10194,15219,1224,6406,19026,8408,17598,83,742,10,44,1,275,678,35
293,782,208,3105,8,429,5547,720,729,576,8503,10864,5147,1203,4605,8438,3188,2236,2992,1376,1383,3608,5964,36,1555,6,25,27,152,189,6
119,2322,667,700,1,575,1947,262,1187,718,19221,5176,2449,1539,476,15717,4491,6349,585,4551,3399,3508,6275,54,318,45,14,0,69,180,12
63,53,9,50,0,17,48,16,63,103,598,217,170,38,256,277,29,44,42,27,125,66,116,0,2,0,1,0,1,11,9
